********************************************************************************
product = WebSphere Application Server 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = /opt/ibm/wlp/
server.config.dir = /home/default/app/mc-target/liberty/wlp/usr/servers/defaultServer/
java.home = /home/default/java/jre
java.version = 1.8.0_221
java.runtime = Java(TM) SE Runtime Environment (8.0.5.40 - pxa6480sr5fp40-20190807_01(SR5 FP40))
os = Linux (4.9.184-linuxkit; amd64) (en_US)
process = 319@ae08c72be9da
********************************************************************************
[9/21/19 15:24:31:023 UTC] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[9/21/19 15:24:31:047 UTC] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: This product is licensed for development, and limited production use. The full license terms can be viewed here: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/19.0.0.3/lafiles/en.html
[9/21/19 15:24:33:007 UTC] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 2.469 seconds
[9/21/19 15:24:33:111 UTC] 00000032 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[9/21/19 15:24:35:650 UTC] 00000026 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: The security service is starting...
[9/21/19 15:24:36:089 UTC] 0000003b com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel defaultHttpEndpoint has been started and is now listening for requests on host *  (IPv4) port 9080.
[9/21/19 15:24:36:112 UTC] 00000026 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[9/21/19 15:24:36:325 UTC] 0000002c com.ibm.ws.ssl.config.WSKeyStore                             A CWPKI0820A: The default keystore has been created using the 'keystore_password' environment variable.
[9/21/19 15:24:36:702 UTC] 00000026 ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: The collective authentication plugin with class name NullCollectiveAuthenticationPlugin has been activated. 
[9/21/19 15:24:37:104 UTC] 00000043 com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: LTPA configuration is ready after 0.429 seconds.
[9/21/19 15:24:37:204 UTC] 00000026 com.ibm.ws.cache.ServerCache                                 I DYNA1001I: WebSphere Dynamic Cache instance named baseCache initialized successfully.
[9/21/19 15:24:37:206 UTC] 00000026 com.ibm.ws.cache.ServerCache                                 I DYNA1071I: The cache provider default is being used.
[9/21/19 15:24:37:208 UTC] 00000026 com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Dynamic Cache (object cache) initialized successfully.
[9/21/19 15:24:37:425 UTC] 00000049 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application javametrics-dash.
[9/21/19 15:24:37:425 UTC] 0000004b com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application gameclient.
[9/21/19 15:24:37:428 UTC] 0000004a com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application javametrics-rest.
[9/21/19 15:24:37:431 UTC] 0000002c com.ibm.ws.ssl.config.WSKeyStore                             I Successfully loaded default keystore: /home/default/app/mc-target/liberty/wlp/usr/servers/defaultServer/resources/security/key.p12 of type: PKCS12
[9/21/19 15:24:37:463 UTC] 00000036 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel defaultHttpEndpoint-ssl has been started and is now listening for requests on host *  (IPv4) port 9443.
[9/21/19 15:24:38:772 UTC] 0000004a com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[9/21/19 15:24:38:794 UTC] 0000004a com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: javametrics-api.
[9/21/19 15:24:38:797 UTC] 0000004a com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module javametrics-api has been bound to default_host.
[9/21/19 15:24:38:799 UTC] 0000004a com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://ae08c72be9da:9080/javametrics/
[9/21/19 15:24:38:805 UTC] 0000004a com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: Application javametrics-rest started in 1.376 seconds.
